year,nace_r2_name,nace_r2_code,valueCAP,valueCAPEconComp_QI,valueCAPICT_QI,valueCAPInnovprop_QI,valueCAPIntang_QI,valueCAPNICT_QI,valueCAPTang_QI,valueCAP_QI,valueLAB,valueLAB_QI,valueLP1ConEconComp,valueLP1ConInnovprop,valueLP1ConIntang,valueLP1ConIntangNA,valueLP1ConIntangnonNA,valueLP1ConLC,valueLP1ConTFP,valueLP1ConTangICT,valueLP1ConTangNICT,valueLP1Con_Soft_DB,valueLP1TFP_I,valueLP1_G,valueLP2ConEconComp,valueLP2ConIntang,valueLP2ConIntangNA,valueLP2ConIntangnonNA,valueLP2ConLC,valueLP2ConTFP,valueLP2ConTangICT,valueLP2ConTangNICT,valueLP2Con_Soft_DB,valueLP2TFP_I,valueLP2_G,valueVAConEconComp,valueVAConH,valueVAConInnovprop,valueVAConIntang,valueVAConIntangNA,valueVAConIntangnonNA,valueVAConLC,valueVAConTFP,valueVAConTangICT,valueVAConTangNICT,valueVACon_Soft_DB,valueVATFP_I,valueVAadj_G
1996,Financial and insurance activities,K,226779.38,44.851482,6.7265868,60.707535,52.402454,105.47292,105.47292,71.338272,129224.19,,.043689821,-.013933245,-.017520629,.16503081,-.18255141,,,,.86232954,,,-14.745015,.040142797,-.030713974,.16429579,-.19500972,,,,.84440446,,,-14.793864,.24155392,1.0279623,.04150572,.7184456,.20603268,.51241291,,,,1.8622488,,,-12.01998
1996,Human health activities,Q86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.813571,,,,,,,,,,,,,5.4227972
1996,Human health and social work activities,Q,69945.375,60.261322,7.3525457,54.664455,50.156563,7.1063976,7.1102576,10.827535,210886.11,,.68767458,.05325963,.80547404,.064539924,.74093413,,,,-41.295307,,,7.0742188,.53957373,.63915837,.057981867,.58117646,,,,-41.542938,,,5.41222,.37901735,-2.6059461,.028965488,.45885512,.050872266,.40798286,,,,-41.811394,,,3.6104445
1996,Imputed rents of owner-occupied dwellings,L68A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Information and communication,J,157985.19,36.940445,19.275085,22.366604,24.713173,13.947011,11.169917,19.201372,103487.8,,2.0649915,7.3151307,10.771913,8.443222,2.3286901,,,,-45.081062,,,18.426292,1.9941539,10.572652,8.3332453,2.2394073,,,,-45.147999,,,17.985722,1.6274319,-1.1354259,6.8612685,9.5410957,7.7638998,1.777195,,,,-45.494534,,,15.704921
1996,Land transport and transport via pipelines,H49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.8921566,,,,,,,,,,,,,-8.1891308
1996,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",C24-C25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4050112,,,,,,,,,,,,,2.5423253
1996,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.78412628,,,,,,,,,,,,,.59480911
1996,Manufacture of chemicals and chemical products,C20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.302044,,,,,,,,,,,,,-20.507805
1996,Manufacture of coke and refined petroleum products,C19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4622984,,,,,,,,,,,,,-13.146223
